User,Events
1776192,"[2877501688, 1024025121, 4078218285, 2972428928, 3025444328, 1823369186, 2514143386]"
5161061,"[319129729, 737935339, 1538046875, 1652007005, 861989233, 1926865450, 2098674667, 3272920269, 2169802745, 2027962693]"
7336598,"[1980837904, 380501274, 2428145712, 1820029797, 1501679119, 4125420656]"
7514340,"[854823005, 901144614, 507707719, 3841392405, 2696649330, 4134671058]"
15390083,"[1361307272, 633659090, 907302600, 2643833505, 771676713, 2529072432, 955398943]"
16454810,"[1779618386, 968434069, 761140108, 2006570293, 665321720, 589257919]"
18236457,"[2077156568, 3004007968, 2353399295, 3214494361, 3553950281, 1703679230, 452781702]"
20018153,"[2053692105, 464565286, 2410772923, 63412025, 3583332424, 3592182997]"
23465780,"[3017074183, 2414358105, 3807695143, 602394192, 1600413013, 2529072432, 955398943]"
30355949,"[2860418664, 1773230862, 4294209504, 438768882, 661460159, 3404987729, 955398943]"
33509612,"[1860511950, 2668074570, 794450376, 2428145712, 966971643, 4203627753]"
35565661,"[652541886, 3655418763, 378408397, 275437483, 2036167774, 2139975650]"
37106093,"[1617391894, 3336783567, 3931717290, 2198898969, 2692070381, 3306999925, 4096532695]"
38395056,"[1278585786, 1580455386, 3415281246, 200617654, 677485601, 3252432592]"
43826519,"[4205267137, 4229681081, 1788874248, 680476316, 2378630297, 605300738, 4292059849]"
43965236,"[2725164213, 2923175068, 4082601014, 1900273727, 2806565970, 3395117104, 228340462, 559618821]"
48222018,"[758289588, 2489566262, 2163997791, 496131340, 2347297427]"
50521271,"[3211023626, 1070478164, 982322965, 1570912780, 1927775201, 1667438718]"
57783108,"[2860418664, 1872379613, 1858978872, 1143513079, 1082833698, 2355400133, 3275248026, 3735036412, 861118590, 1600413013, 2529072432]"
65116502,"[2810232094, 1467809542, 4227721355, 894829625, 1966347593, 4264661415]"
67355582,"[3611646220, 2975829844, 2740101266, 3501300823, 3022995002, 1183309937, 3218113289]"
71092144,"[3676729604, 1458428999, 1319656469, 3494003218, 289899674, 3735036412]"
73830292,"[130493588, 3199229320, 1613671569, 2051603944, 3790866767, 4242816413]"
74368740,"[3886183264, 1801175686, 435473446, 11077318, 73584564, 2090317215]"
74504185,"[278651783, 1148012652, 771676713, 2643833505, 1361307272, 633659090, 907302600, 2529072432, 955398943]"
75001773,"[10609218, 2621315686, 1892018889, 1716470668, 1902753965]"
75436593,"[2653923514, 934970634, 1047967283, 3033694655, 4172382349, 997929928]"
76313799,"[673098017, 1469291456, 2642707561, 1203717384, 268233790, 2149464820, 1269035551]"
77627621,"[724969489, 3258757385, 3258757385, 4269687196, 3826292515, 2429151401]"
80365330,"[514153585, 2431677639, 218221722, 3302719635, 559618821, 2806565970]"
81053968,"[3963798906, 1767325091, 3289683998, 2465528861, 1544421101, 2153037761]"
87299174,"[1271330281, 3819567837, 3680209340, 3789029184, 4002798045]"
92401917,"[949540452, 693857041, 3472004495, 1423412400, 2108188468, 2823343043]"
93148987,"[2235632935, 3326401128, 2382247676, 518477191, 602394192, 1600413013, 955398943]"
94142526,"[551112142, 873255426, 1545194399, 2757258727, 1356197621, 467130966, 990256291]"
96920130,"[2628680570, 450130761, 2429675854, 615488222, 1776393554, 1241270051]"
97062150,"[2007279414, 268233790, 3950589515, 2073609284, 3849306291, 2498491194]"
99141124,"[2953583082, 392383010, 299139894, 3488277311, 2724941310, 3180156897, 2803078645]"
103955826,"[3949611603, 3726270158, 178831464, 424521338, 3581275802, 2130616732, 2643833505]"
105347632,"[2626832189, 2708627209, 186107339, 2257585691, 4001241592, 1767661989, 3525619764, 3376050735, 2182496817, 366857842, 1558280207, 3892571955, 738076221, 2679521343]"
109457319,"[426902061, 1832462541, 2776566965, 3632072502, 1044854627, 1532377761, 1600413013, 955398943]"
110128780,"[3855266116, 3565166403, 1390707377, 1532377761, 2529072432, 955398943]"
110342379,"[1530709861, 1641491432, 3770119781, 784509544, 3295999782, 982153847, 3183605169, 252563955, 97217712, 642644408, 861118590, 633659090, 2130616732]"
113021847,"[278651783, 424727744, 1604908519, 2933717037, 2214347761, 2389263741, 1334001859, 2643833505, 955398943]"
118243744,"[196924436, 3731778741, 2816622892, 3271725028, 2755327289, 259600765, 718107120]"
122743553,"[44607617, 1845786756, 3922290830, 1528500344, 3281130769, 152418051]"
128581247,"[498238691, 3754394539, 3022634670, 4219761316, 1386404286, 2153037761]"
130441156,"[2856764723, 1810485930, 3251218411, 2277754128, 642907744, 1012343640]"
131621903,"[2218325768, 1788874248, 900803265, 2509086570, 2873249283, 1731351853, 496131340]"
137002204,"[2428145712, 1718413929, 3251813967, 1501679119, 1812117472, 4125420656]"
138126692,"[2007279414, 312761834, 1587116147, 3048578499, 268233790, 3849306291, 952519340]"
139480407,"[4260484947, 1779648453, 1993111201, 4123796524, 3632072502, 3802870894, 1532377761, 955398943]"
141849067,"[2007279414, 3048578499, 268233790, 1269035551, 3849306291, 952519340]"
146035325,"[2906696294, 3470999302, 486546531, 599395378, 3113660150, 1520335024, 2153037761]"
147627126,"[4136385770, 3488779034, 3504788955, 3702049129, 703370904, 2698678033]"
149914134,"[2007279414, 3849306291, 1269035551, 2498491194, 1816813281, 1076364848]"
151534919,"[3913403716, 4004100709, 2401458775, 2133183406, 1361307272, 2643833505, 907302600]"
160230482,"[3309338938, 2007279414, 1902753965, 4244463632, 3776957253, 1269035551, 2149464820, 2498491194, 952519340, 1076364848]"
160673392,"[198166767, 702971420, 3343711990, 2803195749, 1448086840, 1133385189]"
166773493,"[4080944038, 2007279414, 1844176380, 268233790, 2149464820, 1269035551]"
